workerid,response6,response7,response4,response5,response2,response3,response1,response8,response9,pref9,obj1,obj3,obj2,ambiguous,slide_number,condition,trial_type,pref8,item,numFeatures,pref1,pref2,pref3,pref4,pref5,pref6,pref7,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,NA,NA,0.8,NA,0.4,0.8,0.7,NA,NA,NA,211,221,211,True,3,213232,multi_slider,NA,2273,4,striped,solid,blue,circle,NA,NA,NA,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,NA,NA,NA,NA,0.8,0.8,0.8,NA,NA,NA,223,223,223,False,4,323232,multi_slider,NA,1990,3,striped,circle,green,NA,NA,NA,NA,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,0.3,0.7,0.7,0.4,0.45,0.7,0.65,0.65,NA,NA,331,222,313,True,5,211111,multi_slider,square,454,8,solid,red,green,blue,circle,polka-dotted,striped,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,0.7,NA,0.75,0.6,0.75,0.65,0.35,NA,NA,NA,321,112,121,True,6,122121,multi_slider,NA,1822,6,red,striped,solid,cloud,blue,square,NA,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,0.8,NA,0.4,0.7,0.35,0.75,0.75,NA,NA,NA,231,221,332,True,7,212222,multi_slider,NA,254,6,striped,red,square,polka-dotted,circle,blue,NA,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,0.25,NA,0.2,0.85,0.2,0.85,0.8,NA,NA,NA,232,121,121,False,8,121212,multi_slider,NA,1688,6,blue,polka-dotted,striped,circle,cloud,red,NA,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,0.8,0.8,0.6,0.25,0.8,0.75,0.3,0.85,NA,NA,112,221,323,True,9,121111,multi_slider,circle,2199,8,solid,green,striped,cloud,blue,red,square,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,NA,NA,0.8,NA,0.65,0.75,0.7,NA,NA,NA,213,313,313,True,10,323212,multi_slider,NA,158,4,green,solid,square,circle,NA,NA,NA,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,0.65,0.25,0.8,0.8,0.75,0.4,0.35,0.65,NA,NA,332,211,121,True,11,121111,multi_slider,polka-dotted,2167,8,striped,square,cloud,solid,circle,blue,red,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
0,0.35,0.65,0.75,0.8,0.8,0.65,0.4,0.65,NA,NA,221,333,122,True,12,211111,multi_slider,green,495,8,striped,red,circle,blue,square,polka-dotted,cloud,English,2,Male,29,No,Yes,3,Windows,768,1366,Chrome,38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:09 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:09 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=38DCH97KHHXGCJ6ZPJ1PIPZQ7PMQJ4,3Q5C1WP23NXNB05Q64CI5X41MGP51O,0,Submitted,Fri Dec 21 01:57:59 PST 2018,Thu Dec 20 09:13:39 PST 2018,Thu Dec 20 09:17:59 PST 2018,,,,,,[],3.949333333333333
