Code,Duplicates,target,obj2,obj3,Explanation,utterance,utterancecode
111111,False,circle-polka-dotted-green,square-striped-blue,cloud-solid-red,,circle,111
111211,False,square-solid-blue,cloud-striped-green,circle-polka-dotted-green,,square,211
112111,False,square-striped-green,square-polka-dotted-red,circle-solid-blue,,green,211
121111,False,circle-polka-dotted-blue,cloud-striped-red,square-striped-green,,polka-dotted,211
211111,False,square-solid-red,circle-solid-blue,cloud-polka-dotted-green,,solid,211
113211,False,cloud-solid-blue,square-solid-red,circle-solid-green,,cloud,311
321111,False,square-polka-dotted-red,cloud-polka-dotted-blue,circle-polka-dotted-green,,polka-dotted,311
113212,False,cloud-solid-blue,circle-striped-blue,square-striped-blue,,cloud,321
113221,False,cloud-solid-blue,square-solid-blue,circle-solid-red,,cloud,321
123211,False,circle-striped-blue,cloud-striped-red,cloud-striped-green,,circle,321
213211,False,circle-polka-dotted-blue,cloud-polka-dotted-blue,square-polka-dotted-red,,blue,321
321211,False,cloud-striped-green,cloud-solid-blue,cloud-polka-dotted-blue,,cloud,321
322111,False,circle-polka-dotted-red,square-polka-dotted-red,cloud-polka-dotted-blue,,polka-dotted,321
113232,False,circle-polka-dotted-red,circle-solid-red,circle-striped-red,,polka-dotted,331
323211,False,square-solid-blue,square-striped-blue,square-polka-dotted-blue,,square,331
111212,False,circle-solid-blue,square-striped-red,square-striped-green,,blue,22a1
112121,False,circle-polka-dotted-red,square-polka-dotted-red,cloud-striped-blue,,circle,22a1
121211,False,cloud-polka-dotted-blue,circle-solid-green,circle-striped-green,,blue,22a1
212111,False,cloud-striped-blue,circle-striped-blue,square-polka-dotted-red,,striped,22a1
122112,False,cloud-solid-blue,circle-solid-green,circle-polka-dotted-green,,cloud,22a2b
122121,False,cloud-polka-dotted-blue,cloud-striped-blue,square-striped-green,,polka-dotted,22a2b
211212,False,cloud-striped-green,cloud-polka-dotted-blue,square-polka-dotted-blue,,cloud,22a2b
212112,False,circle-solid-red,circle-polka-dotted-red,square-polka-dotted-green,,circle,22a2b
212122,False,circle-striped-red,cloud-striped-red,circle-polka-dotted-green,,striped,22a2b
212222,False,circle-polka-dotted-green,square-polka-dotted-blue,circle-solid-green,,polka-dotted,22a2b
112112,False,circle-striped-red,circle-solid-green,square-polka-dotted-green,,striped,22b1
112122,False,circle-striped-red,circle-polka-dotted-green,cloud-solid-red,,striped,22b1
122111,False,square-polka-dotted-green,square-solid-red,cloud-striped-red,,green,22b1
211211,False,circle-polka-dotted-blue,cloud-polka-dotted-green,cloud-solid-red,,polka-dotted,22b1
212211,False,square-solid-green,square-polka-dotted-red,cloud-solid-blue,,square,22b1
122122,False,circle-striped-green,circle-solid-blue,cloud-solid-green,,striped,22b2b
212212,False,cloud-solid-red,cloud-polka-dotted-green,circle-polka-dotted-red,,cloud,22b2b
123221,False,circle-solid-blue,cloud-solid-blue,cloud-polka-dotted-blue,,circle,322b
213212,False,cloud-solid-red,square-solid-red,square-solid-blue,,red,322b
213222,False,cloud-solid-blue,square-solid-blue,cloud-solid-green,,blue,322b
322112,False,cloud-polka-dotted-red,cloud-striped-red,cloud-striped-blue,,cloud,322b
322122,False,square-polka-dotted-blue,square-striped-blue,cloud-polka-dotted-blue,,blue,322b
121212,True,dup,dup,dup,,,
123212,True,dup,dup,dup,,,
123232,True,dup,dup,dup,,,
212121,True,dup,dup,dup,,,
213221,True,dup,dup,dup,,,
213232,True,dup,dup,dup,,,
321212,True,dup,dup,dup,,,
322121,True,dup,dup,dup,,,
323212,True,dup,dup,dup,,,
323221,True,dup,dup,dup,,,
323232,True,dup,dup,dup,,,
