workerid,response6,response7,response4,response5,response2,response3,response1,response8,response9,pref9,obj1,obj3,obj2,ambiguous,slide_number,condition,trial_type,pref8,item,numFeatures,pref1,pref2,pref3,pref4,pref5,pref6,pref7,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,NA,NA,0.05,0.8,0.1,0.15,0.75,NA,NA,NA,313,123,123,True,3,321212,multi_slider,NA,1140,5,solid,striped,green,cloud,square,NA,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,NA,NA,0.1,0.1,0.1,0.1,0.9,NA,NA,NA,331,233,333,True,4,322112,multi_slider,NA,1542,5,circle,polka-dotted,green,blue,square,NA,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.85,0.85,0.85,0.85,0.8,0.05,0.85,NA,NA,NA,321,313,332,True,5,321111,multi_slider,NA,2075,7,polka-dotted,blue,square,solid,striped,red,green,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.1,NA,0.9,0.9,0.9,0.15,0.15,NA,NA,NA,331,223,323,True,6,122112,multi_slider,NA,14,6,square,blue,striped,circle,polka-dotted,green,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.9,NA,0.85,0.05,0.15,0.9,0.9,NA,NA,NA,211,312,313,True,7,321112,multi_slider,NA,445,6,red,solid,circle,green,square,blue,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,NA,NA,1,0,0.1,0.9,0.05,NA,NA,NA,221,213,221,True,8,212132,multi_slider,NA,201,5,striped,blue,solid,green,circle,NA,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.9,0.95,0.85,0.9,0.8,0.1,0.1,NA,NA,NA,313,221,322,True,9,112112,multi_slider,NA,1214,7,striped,solid,square,red,circle,blue,green,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.1,NA,0.95,0.1,0.95,0.05,0.9,NA,NA,NA,113,321,113,False,10,212121,multi_slider,NA,915,6,striped,blue,green,square,solid,cloud,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.1,NA,0.15,0.95,0.95,0.15,0.9,NA,NA,NA,131,213,213,False,11,121212,multi_slider,NA,1687,6,polka-dotted,blue,solid,green,cloud,circle,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.9,NA,0.95,0.1,0.05,1,0.1,NA,NA,NA,112,233,233,False,12,121212,multi_slider,NA,1657,6,polka-dotted,green,red,solid,circle,cloud,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.9,NA,0.95,0.15,0.05,0.95,0.05,NA,NA,NA,113,321,321,False,13,121212,multi_slider,NA,1694,6,striped,blue,green,solid,square,cloud,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.05,NA,0.05,0.9,0.1,0.9,0.9,NA,NA,NA,133,212,133,False,14,212121,multi_slider,NA,935,6,solid,cloud,red,polka-dotted,circle,green,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.9,1,0.95,0,0.95,0.95,0.9,0.95,NA,NA,331,222,133,True,15,112111,multi_slider,circle,824,8,square,blue,striped,red,polka-dotted,green,cloud,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,0.1,NA,0.05,0.05,0.9,1,0.95,NA,NA,NA,223,331,323,True,16,212112,multi_slider,NA,1749,6,circle,blue,polka-dotted,green,square,striped,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
0,NA,NA,1,NA,0.05,0,0.1,NA,NA,NA,213,233,233,True,17,323212,multi_slider,NA,151,4,polka-dotted,green,circle,solid,NA,NA,NA,english,1,Male,37,,Yes,4,Windows,768,1366,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,379J5II41PC0XQ2NAFN4T6JSXFTEL4,0,Submitted,Fri Dec 21 02:04:49 PST 2018,Thu Dec 20 09:13:30 PST 2018,Thu Dec 20 09:24:49 PST 2018,,,,,,[],11.19345
1,NA,NA,0.25,NA,0.5,0,0.95,NA,NA,NA,222,212,222,True,3,213232,multi_slider,NA,2280,4,solid,striped,circle,red,NA,NA,NA,English,1,Female,45,,Confused,3,Windows,864,1536,Chrome,30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3T1XT3I8SXZB1M17G2PNLMVAGJG6HR,English conversations,Answer questions about English conversations.,language research fun cognitive science university,$0.50,Thu Dec 20 09:13:21 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jan 19 09:13:21 PST 2019,https://requester.mturk.com/mturk/manageHIT?HITId=30ZKOOGW2W1HUMJEAYYXOPOZ9Q1A1E,3N2BF7Y2VRQWNIBA0SWPEMVUP0BMHU,1,Submitted,Fri Dec 21 02:05:36 PST 2018,Thu Dec 20 09:15:13 PST 2018,Thu Dec 20 09:25:36 PST 2018,,,,,,[],10.240833333333333
